collection_slug,collection_name,collection_url,asset_id,asset_name,asset_description,asset_contract_date,asset_url,asset_img_url,event_id,event_time,event_auction_type,event_contract_address,event_quantity,event_payment_symbol,event_total_price
finiliar,Finiliar,https://opensea.io/collection/finiliar,193056333,finiliar #1187,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/1187,https://lh3.googleusercontent.com/LN_ap9Z-w7EwSy5N_hJyc91XeVSNmEixvTVD_z1tHBQ4y_rL5Pa97R3Itli1v_-4cwEHgD3RDH1ANROhizlMWGOBETqR0hEDfd5m,6928114792,2022-06-17T02:10:01.262067,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.2769
finiliar,Finiliar,https://opensea.io/collection/finiliar,193050008,finiliar #949,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/949,https://lh3.googleusercontent.com/mJvTpQvzQ6wESnmG8KKEcbSx-N5IVztJi036PLkbhTh5F6FMy6cb2i1lgAeAKOMUPa1UCCCLcvlsXm-i9kQkB7mtzlJ9Am-FeYQqqg,6870506961,2022-06-14T01:12:09.518375,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.269
finiliar,Finiliar,https://opensea.io/collection/finiliar,193056324,finiliar #1186,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/1186,https://lh3.googleusercontent.com/5bwB0W9zQvqqNZ8dA3oL1FIAcRDqKI6Mj5ZgkqJvjbkKRBJROVfC3vd9DgrlSMHg2iNEdD4h1R4ZIFl2MmFCtUsAu8c_8K5CxAY3Zw,6867737207,2022-06-13T21:57:29.995739,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.3
finiliar,Finiliar,https://opensea.io/collection/finiliar,193042146,finiliar #457,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/457,https://lh3.googleusercontent.com/hs_QXaSG0T3PGsJI2NB520geXOzFdu1hJ2iQkL6EU3sc23-xhZrfYKsrUEmZnTXRCY-EGIG4QYTPnn5yyIeUDV20AJJmbz6bYLZE0Fo,6848870222,2022-06-12T23:10:07.748709,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.3
finiliar,Finiliar,https://opensea.io/collection/finiliar,193046479,finiliar #685,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/685,https://lh3.googleusercontent.com/sSznfeh_KxJGIPfF6m-hUOKWlWPGXg44bHCkZ98Ywr4uSnREqyuYjom0WBqnwviPjEp7hx2ICtOVmTlXa9FdFt1BpqKtBbO_Nkja,6769451676,2022-06-09T12:53:48.656610,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.3
finiliar,Finiliar,https://opensea.io/collection/finiliar,193046112,finiliar #663,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/663,https://lh3.googleusercontent.com/oR_1K1pAeIsmDqVVZ0pQ-0cyDnKptLKL1Cs9H2SAae4phH_NuEYVgKLhRCcVm3dYra733V9pQ8q45G5Fz_t-YsSI38aSuAsp1vUqgw,6711961810,2022-06-06T06:20:36.306212,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.285
finiliar,Finiliar,https://opensea.io/collection/finiliar,193042164,finiliar #458,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/458,https://lh3.googleusercontent.com/mNm36e4cUAxln3w-SQopDXD9vEyuoKa_Emu3uZ5T4aVfcaTCqtQTQtIQ5mdSs-H69AoES1EYNP-eVPH2r-2z7iOIzbgAsr2UaJ2b4g,6705975392,2022-06-05T19:31:32.138919,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.52
finiliar,Finiliar,https://opensea.io/collection/finiliar,193048751,finiliar #905,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/905,https://lh3.googleusercontent.com/nMwfUI7uKIG203wnw7U8i-bQTXUV0QSSSXuoDBJAeGZpuToNL9j2pZ1HsIGxuy1a_VwHg5o8DNxhdw60w51fA0GZf9mwSby6TqRMbQ,6696770544,2022-06-04T22:44:28.774672,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.289
finiliar,Finiliar,https://opensea.io/collection/finiliar,193043517,finiliar #516,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/516,https://lh3.googleusercontent.com/ijQPMAmoIU3_n8DwN_zSIWlz6los1l6GMi70MWPFT2_LAwDLPWvIjQom9QHjYEK6XPVelWsSUS9A7mJ9k5ClVKmst3hVJ4gFBh-C,6587590575,2022-05-31T19:22:31.378465,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.385
finiliar,Finiliar,https://opensea.io/collection/finiliar,193043578,finiliar #521,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/521,https://lh3.googleusercontent.com/T1Aseqs0DqLKo9X-Eu7r4kggStM3_r3so5MTpeO894vabYxsqYCznHNmQToxnD7Tkk-1jasNnQLnTAts1eQyCLrizUzMkwdcMUn4MA,6360489818,2022-05-21T20:40:48.015835,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.385
finiliar,Finiliar,https://opensea.io/collection/finiliar,193043598,finiliar #523,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/523,https://lh3.googleusercontent.com/2stkiKypVnMbHXVG0icXWbrBRC0bbhiPygkpR2_a9jv7ABOb0utPEI64f7M8Ku7PznnBpENv6pe113SDGOvPuczmdKhIaMpbz5ONEA,6359846776,2022-05-21T19:09:12.965398,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.385
finiliar,Finiliar,https://opensea.io/collection/finiliar,193037860,finiliar #227,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/227,https://lh3.googleusercontent.com/bmQpqW0loPosBs80IbziDl2TuPjWpiV8SZ7NNvZ0Ja1ev-ZWVrRqrse-S7W1w5MfVX2zFxrhrA_0wPOlWgJxRQNri8IZRfWb7WzaqrM,6226265727,2022-05-17T12:44:15.881774,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.35
finiliar,Finiliar,https://opensea.io/collection/finiliar,193049240,finiliar #940,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/940,https://lh3.googleusercontent.com/pvFLtzKZOoqeiJ317QlfcCcCOvJcm5zgt4adfBF109725hBNS2jJKEQTW6uGRV0UNhZ-PzecmSKCe4Vogz_ZebeWKtwyOF-zZo3D-A,6159774197,2022-05-15T20:24:40.957923,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.368
finiliar,Finiliar,https://opensea.io/collection/finiliar,193055650,finiliar #1118,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/1118,https://lh3.googleusercontent.com/o9gLooGEHtphxwoQx9v7gJsjOC1fH4ImoQe4LTAOqVr9yRCFMGJLG8b0ccveiqZxv4sOjM4bXeNB3loAsgEf_hGO0KMa5tMszi5A4A,5826256252,2022-05-06T21:53:42.275450,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.498
finiliar,Finiliar,https://opensea.io/collection/finiliar,193038272,finiliar #308,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/308,https://lh3.googleusercontent.com/XYXcBoJRXFwShRPf6WSQf86n-_s5RfkArsW-sXIEULRK8f5N5zQHy6TTV9mvvCkPSmbV1YcqlpZ4n3IEIWWUw-jiEhLLqb50DuqB,5809833105,2022-05-06T11:44:02.366905,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.59
finiliar,Finiliar,https://opensea.io/collection/finiliar,193051410,finiliar #992,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/992,https://lh3.googleusercontent.com/CnQhpHnJFSrFw1i4yxEBbsFOsaIl6qFkz108gQXATZrRrm1KblXC_QZvXx8m2Lqo7xpTeKAYYalV-ZmlCOMtJSAaz36NwEvImFCUFcY,5776922415,2022-05-05T13:29:48.753171,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,WETH,0.65
finiliar,Finiliar,https://opensea.io/collection/finiliar,193048598,finiliar #859,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/859,https://lh3.googleusercontent.com/wWQoqS_CPSAwGGFjFXbyvUpDoNcYTXq-gilpK_lzXoegkH419yIBP4_hkLi5oTAdop4B-66Eoxys357U-WF8NnKyuc-4iFR2BbhuvqY,5769610918,2022-05-05T09:02:58.775724,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.7
finiliar,Finiliar,https://opensea.io/collection/finiliar,193047298,finiliar #726,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/726,https://lh3.googleusercontent.com/i4wSA3BOnKaWkl3KhlIFxdtAc31rIkm_U4N1YtOoslFOmW95AXmpFa3B9ZpVj9T5hg9ch6MlaGvjRvmj8G2pjBDfYf9GEJc4tYau,5763865164,2022-05-05T05:24:23.183624,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.45
finiliar,Finiliar,https://opensea.io/collection/finiliar,193038272,finiliar #308,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/308,https://lh3.googleusercontent.com/XYXcBoJRXFwShRPf6WSQf86n-_s5RfkArsW-sXIEULRK8f5N5zQHy6TTV9mvvCkPSmbV1YcqlpZ4n3IEIWWUw-jiEhLLqb50DuqB,5762364841,2022-05-05T04:27:21.639205,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,0.68
finiliar,Finiliar,https://opensea.io/collection/finiliar,191891282,finiliar #200,"[finiliar](https://finiliar.com) are living NFTs that use oracles to respond to fluctuations in the value of cryptocurrencies. They become happy and buoyant when the currency they are linked to does well, and sad or even sick when it performs poorly.",2022-01-06T22:32:39.965685,https://opensea.io/assets/ethereum/0x5a0121a0a21232ec0d024dab9017314509026480/200,https://lh3.googleusercontent.com/CgjyA_k56Yaz8mlIQfKLUsExzBw8xSR7d8Lo743rY-XuTN5dPcVi36Nnwxwani48wL61M0z6OHyKFHgzx1ljK7NtBA3iYMtJz9-nqQ,5755437147,2022-05-04T23:55:06.538967,,0x7f268357a8c2552623316e2562d90e642bb538e5,1,ETH,1.1
